density,temperature,type,x,y,source
1.2,2200,rings,7.0,0.1839080459770115,GT
1.2,2200,rings,8.0,0.022988505747126436,GT
1.2,2200,rings,9.0,0.022988505747126436,GT
1.2,2200,rings,10.0,0.08045977011494253,GT
1.2,2200,coordination,0.0,0.0,GT
1.2,2200,coordination,1.0,0.0,GT
1.2,2200,coordination,2.0,0.08,GT
1.2,2200,coordination,3.0,0.89,GT
1.2,2200,coordination,4.0,0.03,GT
1.2,2300,rings,4.0,0.0,GT
1.2,2300,rings,5.0,0.275,GT
1.2,2300,rings,6.0,0.525,GT
1.2,2300,rings,7.0,0.1625,GT
1.2,2300,rings,8.0,0.0125,GT
1.2,2300,rings,9.0,0.0125,GT
1.2,2300,rings,10.0,0.0125,GT
1.2,2300,coordination,0.0,0.0,GT
1.2,2300,coordination,1.0,0.0,GT
1.2,2300,coordination,2.0,0.095,GT
1.2,2300,coordination,3.0,0.89,GT
1.2,2300,coordination,4.0,0.015,GT
1.2,2400,rings,4.0,0.0,GT
1.2,2400,rings,5.0,0.26506024096385544,GT
1.2,2400,rings,6.0,0.5180722891566265,GT
1.2,2400,rings,7.0,0.14457831325301204,GT
1.2,2400,rings,8.0,0.012048192771084338,GT
1.2,2400,rings,9.0,0.03614457831325301,GT
1.2,2400,rings,10.0,0.024096385542168676,GT
1.2,2400,coordination,0.0,0.0,GT
1.2,2400,coordination,1.0,0.0,GT
1.2,2400,coordination,2.0,0.085,GT
1.2,2400,coordination,3.0,0.9,GT
1.2,2400,coordination,4.0,0.015,GT
1.2,2500,rings,4.0,0.0,GT
1.2,2500,rings,5.0,0.2876712328767123,GT
1.2,2500,rings,6.0,0.3972602739726027,GT
1.2,2500,rings,7.0,0.1506849315068493,GT
1.2,2500,rings,8.0,0.0273972602739726,GT
1.2,2500,rings,9.0,0.0547945205479452,GT
1.2,2500,rings,10.0,0.0821917808219178,GT
1.2,2500,coordination,0.0,0.0,GT
1.2,2500,coordination,1.0,0.0,GT
1.2,2500,coordination,2.0,0.135,GT
1.2,2500,coordination,3.0,0.86,GT
1.2,2500,coordination,4.0,0.005,GT
1.2,2600,rings,4.0,0.0,GT
1.2,2600,rings,5.0,0.3448275862068966,GT
1.2,2600,rings,6.0,0.4367816091954023,GT
1.2,2600,rings,7.0,0.09195402298850575,GT
1.2,2600,rings,8.0,0.04597701149425287,GT
1.2,2600,rings,9.0,0.04597701149425287,GT
1.2,2600,rings,10.0,0.034482758620689655,GT
1.2,2600,coordination,0.0,0.0,GT
1.2,2600,coordination,1.0,0.0,GT
1.2,2600,coordination,2.0,0.065,GT
1.2,2600,coordination,3.0,0.91,GT
1.2,2600,coordination,4.0,0.025,GT
1.2,2700,rings,4.0,0.0,GT
1.2,2700,rings,5.0,0.37373737373737376,GT
1.2,2700,rings,6.0,0.43434343434343436,GT
1.2,2700,rings,7.0,0.0707070707070707,GT
1.2,2700,rings,8.0,0.08080808080808081,GT
1.2,2700,rings,9.0,0.04040404040404041,GT
1.2,2700,rings,10.0,0.0,GT
1.2,2700,coordination,0.0,0.0,GT
1.2,2700,coordination,1.0,0.01,GT
1.2,2700,coordination,2.0,0.015,GT
1.2,2700,coordination,3.0,0.96,GT
1.2,2700,coordination,4.0,0.015,GT
1.2,2800,rings,4.0,0.0,GT
1.2,2800,rings,5.0,0.2891566265060241,GT
1.2,2800,rings,6.0,0.4819277108433735,GT
1.2,2800,rings,7.0,0.1927710843373494,GT
